Team,OS,PC,PA,YPG,TO,PYD,RYD,GT,HG,GM,W
lar,0.588,17,25,300,1,175,125,R,H,17,10
was,0.235,22,28,408,2,224,184,R,A,17,4
bal,0.765,18,32,429,0,308,121,R,H,17,13
ari,0.765,16,25,406,2,262,144,R,A,17,13
sea,0.529,19,27,527,0,354,173,R,H,17,9
phi,0.647,19,27,456,2,310,146,R,A,17,11
sea,0.529,21,30,377,2,206,169,R,A,17,9
tb,0.529,21,25,420,4,305,115,R,H,17,9
jax,0.529,19,26,437,1,293,144,R,A,17,9
cin,0.529,22,31,460,1,347,113,R,H,17,9
min,0.412,21,30,325,2,260,65,R,A,17,7
cle,0.647,12,27,214,2,107,108,R,A,17,11
dal,0.706,17,24,321,4,251,170,R,H,17,12
ari,0.471,20,21,395,0,271,124,R,H,17,8
nyg,0.353,25,37,441,1,300,141,R,H,17,6
lar,0.588,17,25,365,2,206,159,R,A,17,10
pit,0.588,19,29,391,2,203,188,R,A,17,10
gre,0.529,23,39,356,0,245,111,P,A,17,9
det,0.706,20,31,413,1,258,155,P,A,17,12
kan,0.647,23,38,382,2,272,110,P,A,17,11
Jet,0.294,19,39,401,0,221,180,R,H,17,5
Vik,0.824,28,36,396,2,294,102,R,A,17,14
Ram,0.588,22,30,425,1,288,137,R,A,17,10
Pat,0.235,15,27,431,2,283,148,R,H,17,4
Car,0.471,19,35,384,3,231,153,R,H,17,8
Sea,0.588,18,28,483,0,255,228,R,A,17,10
Chi,0.882,17,21,310,3,209,101,R,H,17,15
Cow,0.412,18,26,469,0,246,223,R,H,17,7
Buc,0.588,25,36,413,1,338,75,R,A,17,10
Sea,0.588,21,28,277,1,146,131,R,H,17,10
Pac,0.647,15,30,241,3,197,44,R,A,17,11
Bil,0.765,11,25,239,3,86,153,R,A,17,13
Bea,0.294,20,18,452,1,321,131,R,H,17,5
Ram,0.588,14,31,191,1,128,63,R,H,17,10
Dol,0.471,26,40,374,1,293,81,R,A,17,8
Lio,0.882,27,35,475,2,400,75,R,H,17,15
Car,0.471,19,35,436,3,298,138,R,A,17,8
