Team,OS,PC,PA,YPG,TO,PYD,RYD,GT,HG,GM,W
lar,0.588,17,25,300,1,175,125,R,H,17,10
was,0.235,22,28,408,2,224,184,R,A,17,4
bal,0.765,18,32,429,0,308,121,R,H,17,13
ari,0.765,16,25,406,2,262,144,R,A,17,13
sea,0.529,19,27,527,0,354,173,R,H,17,9
phi,0.647,19,27,456,2,310,146,R,A,17,11
sea,0.529,21,30,377,2,206,169,R,A,17,9
tb,0.529,21,25,420,4,305,115,R,H,17,9
jax,0.529,19,26,437,1,293,144,R,A,17,9
cin,0.529,22,31,460,1,347,113,R,H,17,9
min,0.412,21,30,325,2,260,65,R,A,17,7
cle,0.647,12,27,214,2,107,108,R,A,17,11
dal,0.706,17,24,321,4,251,170,R,H,17,12
ari,0.471,20,21,395,0,271,124,R,H,17,8
nyg,0.353,25,37,441,1,300,141,R,H,17,6
lar,0.588,17,25,365,2,206,159,R,A,17,10
pit,0.588,19,29,391,2,203,188,R,A,17,10
gre,0.529,23,39,356,0,245,111,P,A,17,9
det,0.706,20,31,413,1,258,155,P,A,17,12
kan,0.647,23,38,382,2,272,110,P,A,17,11
